time,x,y,yaw,vel_x,yaw_vel,ob_x,ob_y
8.904622793,-0.006342544,-0.006807959,73.39377928,0,0.2,,
8.953737736,-0.006420248,-0.006793836,74.07645597,0,0.2,,
9.008748293,-0.006491151,-0.006702894,74.71745281,0,0.2,,
9.071907759,-0.00650738,-0.0066611,75.03351137,0,0.2,,
9.142985582,-0.006500859,-0.006620552,75.35591785,0,0.2,,
9.18597126,-0.006483142,-0.006547516,75.98474394,0,0.2,,
9.235675335,-0.006466763,-0.006481065,76.62823387,0,0.2,,
9.297166824,-0.006459535,-0.006451844,76.94747029,0,0.2,,
9.351262808,-0.006453869,-0.006429712,77.28159638,0,0.2,,
9.408293962,-0.006451836,-0.006424867,77.61680472,0,0.2,,
9.469959736,-0.006454391,-0.006442937,77.96700664,0,0.2,,
9.522447348,-0.006470582,-0.006538155,78.71613493,0,0.2,,
9.581010342,-0.006489502,-0.00665414,79.47850622,0,0.2,,
9.659684896,-0.006506631,-0.006768665,80.2293357,0,0.2,,
9.716700315,-0.006514863,-0.006827689,80.6160301,0,0.2,,
9.780390024,-0.006522468,-0.006884988,80.99129348,0.15,0,,
9.8396101,-0.006514944,-0.006821522,81.73810393,0.15,0,,
9.896422148,-0.006358551,-0.005646572,82.61938434,0.15,0,,
9.977048159,-0.006225981,-0.004576451,83.37655338,0.15,0,,
10.03115654,-0.005924012,-0.001488249,85.72310996,0.15,0,,
10.07544255,-0.005924012,-0.001488249,85.72310996,0.15,0,,
10.12787819,-0.005683186,0.003449508,88.79120921,0,-0.2,,
10.18825221,-0.005722045,0.011010583,92.15657125,0,-0.2,,
10.2404573,-0.005772609,0.012243584,92.72877608,0,-0.2,,
10.29125118,-0.005806953,0.012948669,92.86214058,0,-0.2,,
10.35546398,-0.005821263,0.013188991,92.2101847,0,-0.2,,
10.44877958,-0.00582842,0.013306196,91.44566924,0,-0.2,,
10.53004456,-0.005831373,0.013364022,91.0690338,0,-0.2,,
10.56891561,-0.00583402,0.013423664,90.68092807,0,-0.2,,
10.60888624,-0.005836207,0.013481609,90.30418218,0,-0.2,,
10.67380285,-0.005839484,0.013599418,89.53910833,0,-0.2,,
10.73038006,-0.005841184,0.013715234,88.78522487,0,-0.2,,
10.80210876,-0.005841494,0.013773621,88.39680426,0,-0.2,,
10.84595299,-0.005841397,0.013830889,88.01979953,0,-0.2,,
10.90262532,-0.005840921,0.013888248,87.64274803,0,-0.2,,
10.96610641,-0.005838784,0.014004903,86.87707097,0,-0.2,,
11.02036452,-0.005835073,0.014121786,86.11119555,0.15,0,,
11.06710815,-0.005832666,0.014179428,85.73390017,0.15,0,,
11.11775494,-0.005688352,0.015978508,85.20988087,0.15,0,,
11.17917585,-0.005244566,0.021082553,84.82381887,0.15,0,,
11.24308562,-0.004882439,0.024976452,84.51245662,0.15,0,,
11.30724645,-0.003951309,0.034188404,84.0398068,0.15,0,,
11.37108302,-0.003422005,0.039251537,84.02809755,0.15,0,,
11.42419434,-0.002906816,0.044178332,84.02615405,0.15,0,,
11.50023079,-0.001864056,0.054134052,83.98489045,0.15,0,,
11.54526711,-0.001864056,0.054134052,83.98489045,0.15,0,,
11.60282326,0.000236074,0.073867912,83.90918601,0.15,0,,
11.65707898,0.000761043,0.078787205,83.90903141,0.15,0,,
11.71802568,0.001301742,0.0838544,83.90990608,0.15,0,,
11.77036548,0.002351131,0.093691294,83.91214622,0.15,0,,
11.81975842,0.003416363,0.103680184,83.91398056,0.15,0,,
11.88358045,0.003941054,0.108601315,83.91466618,0.15,0,,
11.94624472,0.004481683,0.113672448,83.9152326,0.15,0,,
12.00476456,0.005006467,0.118595327,83.91564976,0.15,0,,
12.06077528,0.005531326,0.123519118,83.91593741,0.15,0,,
12.11943889,0.006597203,0.133518556,83.9160366,0.15,0,,
12.18887901,0.008188601,0.148444947,83.9119246,0.15,0,,
12.24514794,0.008712871,0.153362262,83.9033776,0.15,0,,
12.29911113,0.009250171,0.15837947,83.85576105,0.15,0,,
12.35493731,0.010308072,0.168147149,83.7926618,0.15,0,,
12.42808914,0.011393097,0.178127641,83.79499154,0.15,0,,
12.49506283,0.011927609,0.183044381,83.79586292,0.15,0,,
12.57920909,0.013012717,0.193027598,83.79803053,0.15,0,,
12.72359204,0.013547121,0.197945495,83.79910245,0.15,0,,
12.77801418,0.014097708,0.203013211,83.80006976,0.15,0,,
12.84357119,0.015166542,0.212853002,83.80150724,0.15,0,,
12.89895582,0.015717214,0.217923295,83.80203674,0.15,0,,
12.95648503,0.01678637,0.227768362,83.80267169,0.15,0,,
13.0240767,0.017872066,0.237766055,83.80262717,0.15,0,,
13.07662058,0.018406912,0.242690946,83.8019429,0.15,0,,
13.15320206,0.018958041,0.247765033,83.80046515,0.15,0,,
13.21522808,0.019492945,0.252688635,83.79757313,0.15,0,,
13.27366424,0.020573459,0.262601831,83.7264963,0.15,0,,
13.32724142,0.021653932,0.272385447,83.67862441,0.15,0,,
13.39384985,0.022758618,0.282362317,83.68209603,0.15,0,,
13.4456346,0.023302886,0.287278364,83.68280802,0.15,0,,
13.49808073,0.02386357,0.292343299,83.68388415,0.15,0,,
13.55909681,0.024407711,0.297259621,83.68501844,0.15,0,,
13.62045527,0.025512444,0.30724348,83.6869866,0.15,0,,
13.67673779,0.026600752,0.317081577,83.68834932,0.15,0,,
13.73046088,0.027161464,0.322151011,83.68884125,0.15,0,,
13.79733801,0.027705757,0.327072265,83.68919032,0.15,0,,
13.85444164,0.028811099,0.337066656,83.68947217,0.15,0,,
13.90103698,0.029900242,0.346914146,83.68833567,0.15,0,,
13.96693611,0.030461427,0.351987011,83.6865826,0.15,0,,
14.03080726,0.031548002,0.361802128,83.65717102,0.15,0,,
14.08647132,0.032105816,0.366801583,83.59805245,0.15,0,,
14.15141225,0.033208538,0.376599688,83.56541813,0.15,0,,
14.20339584,0.034332829,0.386573895,83.56917507,0.15,0,,
14.26408124,0.034886844,0.391489172,83.56978439,0.15,0,,
14.30900431,0.035457512,0.396552978,83.57094248,0.15,0,,
14.36704946,0.036011366,0.401468398,83.57205789,0.15,0,,
14.42721558,0.037135831,0.41145048,83.57395045,0.15,0,,
14.48884702,0.038243604,0.421286854,83.57523985,0.15,0,,
14.54097962,0.038814353,0.426355419,83.57569564,0.15,0,,
14.5930717,0.039368395,0.431275833,83.57600813,0.15,0,,
14.63938642,0.040493538,0.441268471,83.57619023,0.15,0,,
14.72975683,0.041602179,0.451113881,83.57472668,0.15,0,,
14.81274533,0.042727248,0.46110318,83.56694139,0.15,0,,
14.88055372,0.043278094,0.465980619,83.52930354,0.15,0,,
14.9347558,0.043847115,0.470979995,83.47157322,0.15,0,,
15.00396848,0.0444079,0.475875296,83.45331829,0.15,0,,
15.07063055,0.04497163,0.480789375,83.45334698,0.15,0,,
15.13395691,0.046679302,0.495676868,83.4570552,0.15,0,,
15.19042397,0.047259944,0.500739636,83.45823564,0.15,0,,
15.2546494,0.048387021,0.510569382,83.46029848,0.15,0,,
15.30495238,0.048967642,0.515634409,83.46114317,0.15,0,,
15.35436964,0.050094838,0.525469026,83.4623592,0.15,0,,
15.40834928,0.050094838,0.525469026,83.4623592,0.15,0,,
15.45859241,0.051239371,0.535456257,83.46305614,0.15,0,,
15.51294017,0.052384268,0.545447065,83.46311635,0.15,0,,
15.56887245,0.053512363,0.55529031,83.46129747,0.15,0,,
15.63366485,0.054093607,0.560360287,83.45877562,0.15,0,,
15.68208241,0.055216426,0.570134189,83.40053605,0.15,0,,
15.75403142,0.056369372,0.580044777,83.33966276,0.15,0,,
15.80856824,0.056942431,0.584953696,83.34242079,0.15,0,,
15.88073063,0.057533131,0.590015717,83.34255437,0.15,0,,
15.94364452,0.058106433,0.594927974,83.34350939,0.15,0,,
15.99373198,0.058679728,0.599840618,83.34450471,0.15,0,,
16.05833602,0.060416764,0.61473028,83.34768733,0.15,0,,
16.1016171,0.061007367,0.61979438,83.34849206,0.15,0,,
16.15250134,0.061580636,0.624710373,83.3491297,0.15,0,,
16.20738244,0.062744724,0.634693991,83.35001994,0.15,0,,
16.26442456,0.063891779,0.644532236,83.35036069,0.15,0,,
16.3181572,0.064482822,0.649601576,83.35016871,0.15,0,,
16.37515593,0.065056545,0.654522102,83.34943811,0.15,0,,
16.42431331,0.065630339,0.65944256,83.3479514,0.15,0,,
16.48512125,0.066793265,0.669411134,83.32722193,0.15,0,,
16.5551281,0.06795563,0.679277106,83.22900756,0.15,0,,
16.62005162,0.069120893,0.689094147,83.23139644,0.15,0,,
16.68463039,0.069721835,0.694156864,83.23038566,0.15,0,,
16.73641562,0.070304882,0.699068681,83.23099292,0.15,0,,
16.79542494,0.07148838,0.709040945,83.23323073,0.15,0,,
16.88456321,0.072654153,0.718866988,83.23515556,0.15,0,,
16.949929,0.07325473,0.72393014,83.23592049,0.15,0,,
17.01430154,0.074420695,0.733761155,83.23699039,0.15,0,,
17.07728052,0.075021457,0.73882701,83.23734036,0.15,0,,
17.11816669,0.075021457,0.73882701,83.23734036,0.15,0,,
17.17510104,0.076187923,0.748663436,83.23759607,0.15,0,,
17.23704004,0.077955881,0.763570307,83.23460683,0.15,0,,
17.30299544,0.079137165,0.773521253,83.20169777,0.15,0,,
17.36965299,0.079717012,0.778368911,83.14418758,0.15,0,,
17.42041802,0.08032243,0.783396453,83.11452669,0.15,0,,
17.47838402,0.080915309,0.788308908,83.11413831,0.15,0,,
17.52771139,0.082118093,0.798274062,83.11786445,0.15,0,,
17.58399773,0.083303361,0.80809507,83.11969736,0.15,0,,
17.63861656,0.084506412,0.818066509,83.1218389,0.15,0,,
17.69252634,0.085098967,0.822978982,83.12268968,0.15,0,,
17.74641204,0.085709511,0.828041172,83.12341518,0.15,0,,
17.81389284,0.086894842,0.837870346,83.12441557,0.15,0,,
17.86339355,0.088098472,0.847852137,83.12490099,0.15,0,,
17.91195965,0.08869145,0.852769815,83.12488371,0.15,0,,
17.95879889,0.08869145,0.852769815,83.12488371,0.15,0,,
18.02785659,0.090488779,0.867673024,83.12122161,0.15,0,,
18.09202647,0.09109917,0.872734197,83.11460414,0.15,0,,
18.14455819,0.091688191,0.877603334,83.07398504,0.15,0,,
18.19375539,0.092896839,0.887493102,83.00173635,0.15,0,,
18.26197624,0.094101034,0.897307835,83.00466545,0.15,0,,
18.32436037,0.094721676,0.90236608,83.00515366,0.15,0,,
18.37141156,0.095323964,0.907275202,83.00612199,0.15,0,,
18.42356062,0.095926187,0.912184497,83.0072724,0.15,0,,
18.48151278,0.097148853,0.922153947,83.0093533,0.15,0,,
18.54329467,0.098973909,0.937039867,83.01138164,0.15,0,,
18.58558989,0.098973909,0.937039867,83.01138164,0.15,0,,
18.64480281,0.099576297,0.941953957,83.01178146,0.15,0,,
18.70038676,0.10140229,0.956850507,83.01208641,0.15,0,,
18.77125692,0.102626107,0.966833568,83.01015451,0.15,0,,
18.82188773,0.103228962,0.971749732,83.00761009,0.15,0,,
18.87993121,0.103848602,0.976803253,82.99593715,0.15,0,,
18.92604136,0.105048909,0.986512249,82.8959017,0.15,0,,
18.99733186,0.105678471,0.991563834,82.88831152,0.15,0,,
19.06608319,0.106902051,1.001375832,82.89173273,0.15,0,,
19.13909554,0.107532535,1.006432172,82.89271018,0.15,0,,
19.19596815,0.108144466,1.011340165,82.89371827,0.15,0,,
19.2431407,0.10875634,1.016248411,82.89486665,0.15,0,,
19.30162764,0.109998615,1.026215849,82.89687875,0.15,0,,
19.35950708,0.11185299,1.041098836,82.89879368,0.15,0,,
19.41100764,0.112465068,1.046011977,82.89915918,0.15,0,,
19.47829175,0.113095793,1.051074956,82.89939895,0.15,0,,
19.54421878,0.114320434,1.060905516,82.89927347,0.15,0,,
19.59638238,0.115563925,1.070886113,82.89692765,0.15,0,,
19.66041231,0.116176308,1.075800281,82.89374146,0.15,0,,
19.71755028,0.116804933,1.080841653,82.87335954,0.15,0,,
19.77065325,0.117412716,1.085687645,82.81689105,0.15,0,,
19.82825971,0.118667432,1.095608662,82.77576118,0.15,0,,
19.88198638,0.119910105,1.105417007,82.77993064,0.15,0,,
19.95030499,0.121172141,1.115379638,82.78161436,0.15,0,,
20.00318027,0.121793642,1.120286856,82.78274165,0.15,0,,
20.07649112,0.12243397,1.12534352,82.78379804,0.15,0,,
20.12530231,0.123055477,1.130252253,82.78467851,0.15,0,,
20.19334388,0.12431744,1.140220989,82.78602332,0.15,0,,
20.25545144,0.125560837,1.150044428,82.7868127,0.15,0,,
20.31969404,0.12682347,1.160020368,82.78704977,0.15,0,,
20.37690187,0.12682347,1.160020368,82.78704977,0.15,0,,
20.42272925,0.127445494,1.164934856,82.78670897,0.15,0,,
20.47247577,0.128708608,1.174912858,82.78389041,0.15,0,,
20.51760483,0.12996769,1.184849586,82.74736381,0.15,0,,
20.56718946,0.130585963,1.189692581,82.69006895,0.15,0,,
20.62311196,0.131863043,1.199626068,82.66415107,0.15,0,,
20.68189955,0.133124917,1.209433056,82.66774623,0.15,0,,
20.72962165,0.133775278,1.214487449,82.66854224,0.15,0,,
20.79196787,0.134406405,1.219393028,82.66968653,0.15,0,,
