time,x,y,yaw,vel_x,yaw_vel,ob_x,ob_y,path x,path y
94.30023932,1.595161011,4.573931537,43.97184064,0.15,0,,,,
94.35934973,1.602227785,4.580744632,43.92363916,0.15,0,,,,
94.40492201,1.605854752,4.584240148,43.95880716,0.15,0,,,,
94.47558928,1.609399024,4.587659237,43.97303521,0.15,0,,,,
94.5317471,1.612958541,4.591093361,43.97340267,0.15,0,,,,
94.58368301,1.620184587,4.598065207,43.9754539,0.15,0,,,,
94.63102674,1.627412393,4.605039223,43.97714257,0.15,0,,,,
94.69078207,1.634534502,4.611911587,43.97817487,0.15,0,,,,
94.75059867,1.638204371,4.61545284,43.9784591,0.15,0,,,,
94.79761386,1.641766932,4.618890567,43.97857841,0.15,0,,,,
94.85386705,1.649002051,4.625872148,43.97838513,0.15,0,,,,
94.90010047,1.656131866,4.632751958,43.97758778,0.15,0,,,,
94.97586584,1.659805412,4.636296587,43.976662,0,0.2,,,,
95.03314066,1.663162481,4.639540015,44.01854214,0,0.2,,,,
95.08781481,1.666139795,4.642423562,44.12584007,0.15,0,,,,
95.13832307,1.671096404,4.647269062,44.49424525,0.15,0,,,,
95.20686388,1.675488274,4.651575359,44.28434351,0.15,0,,,,
95.26077223,1.677828038,4.653839474,43.99971442,0,0.2,,,,
95.31817937,1.68020416,4.656104837,43.6813755,0,0.2,,,,
95.37143469,1.684952847,4.660602046,42.94694513,0,0.2,,,,
95.43555593,1.688955314,4.664264647,42.02341059,0,0.2,,,,
95.48499656,1.690466198,4.665610814,41.60616085,0,0.2,,,,
95.57685471,1.692586587,4.667459734,40.7878861,0,0.2,,,,
95.6540041,1.693273228,4.668045499,40.54469825,0,0.2,,,,
95.71345258,1.694092388,4.668738727,40.53882734,0,0.2,,,,
95.78387475,1.694244065,4.668867908,40.74821811,0,0.2,,,,
95.83790755,1.694292173,4.668907831,41.04572207,0,0.2,,,,
95.88872457,1.694209133,4.668830523,41.80403195,0,0.2,,,,
95.94730282,1.694118262,4.668743912,42.57019933,0,0.2,,,,
96.02275896,1.694074151,4.668701021,42.94738955,0,0.2,,,,
96.07014894,1.694030602,4.668658118,43.32435196,0,0.2,,,,
96.14216805,1.693943586,4.668570707,44.08930273,0,0.2,,,,
96.19564748,1.693860123,4.668484059,44.85243895,0.15,0,,,,
